embedding_model,retrieval_mode,n_queries,mean_top1,mean_top5,mean_range,median_range,std_range,mean_variance,median_variance,std_variance,mean_abs_error,median_abs_error,std_abs_error,mean_range_norm,median_range_norm,std_range_norm,mean_variance_norm,median_variance_norm,std_variance_norm
e5,hyde,775,0.9368,0.932,0.0048,0.0042,0.0027,0.0,0.0,0.0,1.3207,0.8,1.3381,0.092,0.0802,0.0524,0.0019,0.0011,0.0024
e5,simple,775,0.9188,0.9126,0.0062,0.0054,0.0036,0.0,0.0,0.0,1.3212,0.8,1.3332,0.0949,0.0833,0.0549,0.0021,0.0012,0.0029
e5,twostage,775,0.1743,-2.1216,2.2959,1.991,1.4157,1.2598,0.6837,2.0825,1.3742,0.8,1.4125,0.1377,0.1194,0.0849,0.0045,0.0025,0.0075
jina,hyde,773,0.8123,0.794,0.0182,0.0164,0.0105,0.0001,0.0,0.0001,1.3959,0.8,1.4225,0.0717,0.0645,0.0414,0.0012,0.0007,0.0015
jina,simple,773,0.7489,0.7264,0.0225,0.0203,0.0134,0.0001,0.0001,0.0002,1.3999,0.8,1.39,0.0703,0.0634,0.0417,0.0012,0.0007,0.0016
jina,twostage,773,0.412,-1.9726,2.3846,2.0373,1.4197,1.319,0.6918,1.8856,1.3357,0.8,1.3569,0.133,0.1136,0.0792,0.0041,0.0022,0.0059
