Target,Model,Condition,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,0.0096,0.1496,-0.0277,-0.014
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,0.0101,0.1465,-0.0107,0.0002
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,0.0631,0.2402,-0.0324,0.0005
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,0.0842,0.2611,-0.0713,-0.046
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,0.0881,0.2408,-0.0371,-0.0196
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,0.0241,0.1723,-0.0216,-0.0109
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/hyde,0.0235,0.1794,-0.0283,-0.0084
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/simple,-0.0236,0.1193,-0.0118,-0.0015
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/twostage,-0.0018,0.1651,-0.0111,0.0177
label_ideology,Qwen2.5-3B-Instruct,bge/hyde,0.0861,0.0369,-0.0684,-0.0261
label_ideology,Qwen2.5-3B-Instruct,bge/hyde_hybrid,0.082,0.0454,-0.0662,0.0052
label_ideology,Qwen2.5-3B-Instruct,bge/simple,0.0785,0.0285,0.0525,0.0601
label_ideology,Qwen2.5-3B-Instruct,bge/simple_hybrid,0.0639,0.0128,0.1149,0.1063
label_ideology,Qwen2.5-3B-Instruct,bge/twostage,0.0852,0.0308,0.0248,0.0573
label_ideology,Qwen2.5-3B-Instruct,bge/twostage_hybrid,0.0964,0.0394,0.0178,0.036
label_ideology,Qwen2.5-3B-Instruct,e5/hyde,0.0656,0.0054,-0.0263,0.0165
label_ideology,Qwen2.5-3B-Instruct,e5/simple,0.0816,0.0242,0.0398,0.0582
label_ideology,Qwen2.5-3B-Instruct,e5/twostage,0.0825,0.0188,0.068,0.0819
label_ideology,Qwen2.5-3B-Instruct,jina/hyde,0.055,-0.0001,0.0989,0.1086
label_ideology,Qwen2.5-3B-Instruct,jina/simple,0.078,0.0222,0.0559,0.0788
label_ideology,Qwen2.5-3B-Instruct,jina/twostage,0.0769,0.0268,0.095,0.0904
label_ideology,Qwen2.5-3B-Instruct,qwen3/hyde,0.08,0.0231,0.0248,0.0568
